race_id,driver_id,actual_winner,simulator_win_prob,predicted_grid_position,driver_overtake_skill,team_reliability,safety_car_prob_track
2024_01,verstappen,0,0.109,,0.5,0.8,0.4
2024_01,perez,0,0.105,,0.5,0.8,0.4
2024_01,hamilton,0,0.104,,0.5,0.8,0.4
2024_01,russell,0,0.109,,0.5,0.8,0.4
2024_01,leclerc,0,0.117,,0.5,0.8,0.4
2024_01,sainz,0,0.094,,0.5,0.8,0.4
2024_01,norris,1,0.083,,0.5,0.8,0.4
2024_01,piastri,0,0.084,,0.5,0.8,0.4
2024_01,alonso,0,0.096,,0.5,0.8,0.4
2024_01,stroll,0,0.099,,0.5,0.8,0.4
2024_01,verstappen,0,0.109,,0.5,0.8,0.4
2024_01,perez,0,0.105,,0.5,0.8,0.4
2024_01,hamilton,0,0.104,,0.5,0.8,0.4
2024_01,russell,0,0.109,,0.5,0.8,0.4
2024_01,leclerc,0,0.117,,0.5,0.8,0.4
2024_01,sainz,0,0.094,,0.5,0.8,0.4
2024_01,norris,1,0.083,,0.5,0.8,0.4
2024_01,piastri,0,0.084,,0.5,0.8,0.4
2024_01,alonso,0,0.096,,0.5,0.8,0.4
2024_01,stroll,0,0.099,,0.5,0.8,0.4
2024_01,verstappen,0,0.109,1.0,0.5,0.8,0.4
2024_01,perez,0,0.105,2.0,0.5,0.8,0.4
2024_01,hamilton,0,0.104,5.0,0.5,0.8,0.4
2024_01,russell,0,0.109,4.0,0.5,0.8,0.4
2024_01,leclerc,0,0.117,3.0,0.5,0.8,0.4
2024_01,sainz,0,0.094,8.0,0.5,0.8,0.4
2024_01,norris,1,0.083,10.0,0.5,0.8,0.4
2024_01,piastri,0,0.084,7.0,0.5,0.8,0.4
2024_01,alonso,0,0.096,4.916666666666667,0.5,0.8,0.4
2024_01,stroll,0,0.099,4.916666666666667,0.5,0.8,0.4
2024_02,verstappen,0,0.09,,0.5,0.8,0.4
2024_02,perez,0,0.119,,0.5,0.8,0.4
2024_02,hamilton,0,0.104,,0.5,0.8,0.4
2024_02,russell,1,0.122,,0.5,0.8,0.4
2024_02,leclerc,0,0.099,,0.5,0.8,0.4
2024_02,sainz,0,0.106,,0.5,0.8,0.4
2024_02,norris,0,0.089,,0.5,0.8,0.4
2024_02,piastri,0,0.081,,0.5,0.8,0.4
2024_02,alonso,0,0.1,,0.5,0.8,0.4
2024_02,stroll,0,0.09,,0.5,0.8,0.4
2024_02,verstappen,0,0.09,,0.5,0.8,0.4
2024_02,perez,0,0.119,,0.5,0.8,0.4
2024_02,hamilton,0,0.104,,0.5,0.8,0.4
2024_02,russell,0,0.122,,0.5,0.8,0.4
2024_02,leclerc,0,0.099,,0.5,0.8,0.4
2024_02,sainz,0,0.106,,0.5,0.8,0.4
2024_02,norris,0,0.089,,0.5,0.8,0.4
2024_02,piastri,1,0.081,,0.5,0.8,0.4
2024_02,alonso,0,0.1,,0.5,0.8,0.4
2024_02,stroll,0,0.09,,0.5,0.8,0.4
2024_02,verstappen,0,0.09,3.0,0.5,0.8,0.4
2024_02,perez,1,0.119,1.0,0.5,0.8,0.4
2024_02,hamilton,0,0.104,5.0,0.5,0.8,0.4
2024_02,russell,0,0.122,4.0,0.5,0.8,0.4
2024_02,leclerc,0,0.099,2.0,0.5,0.8,0.4
2024_02,sainz,0,0.106,6.0,0.5,0.8,0.4
2024_02,norris,0,0.089,7.0,0.5,0.8,0.4
2024_02,piastri,0,0.081,9.0,0.5,0.8,0.4
2024_02,alonso,0,0.1,4.916666666666667,0.5,0.8,0.4
2024_02,stroll,0,0.09,4.916666666666667,0.5,0.8,0.4
2024_03,verstappen,0,0.11,,0.5,0.8,0.4
2024_03,perez,0,0.119,,0.5,0.8,0.4
2024_03,hamilton,0,0.108,,0.5,0.8,0.4
2024_03,russell,0,0.086,,0.5,0.8,0.4
2024_03,leclerc,0,0.089,,0.5,0.8,0.4
2024_03,sainz,0,0.092,,0.5,0.8,0.4
2024_03,norris,0,0.092,,0.5,0.8,0.4
2024_03,piastri,0,0.093,,0.5,0.8,0.4
2024_03,alonso,1,0.095,,0.5,0.8,0.4
2024_03,stroll,0,0.116,,0.5,0.8,0.4
2024_03,verstappen,0,0.11,,0.5,0.8,0.4
2024_03,perez,0,0.119,,0.5,0.8,0.4
2024_03,hamilton,0,0.108,,0.5,0.8,0.4
2024_03,russell,0,0.086,,0.5,0.8,0.4
2024_03,leclerc,0,0.089,,0.5,0.8,0.4
2024_03,sainz,0,0.092,,0.5,0.8,0.4
2024_03,norris,0,0.092,,0.5,0.8,0.4
2024_03,piastri,1,0.093,,0.5,0.8,0.4
2024_03,alonso,0,0.095,,0.5,0.8,0.4
2024_03,stroll,0,0.116,,0.5,0.8,0.4
2024_03,verstappen,1,0.11,1.0,0.5,0.8,0.4
2024_03,perez,0,0.119,3.0,0.5,0.8,0.4
2024_03,hamilton,0,0.108,2.0,0.5,0.8,0.4
2024_03,russell,0,0.086,7.0,0.5,0.8,0.4
2024_03,leclerc,0,0.089,6.0,0.5,0.8,0.4
2024_03,sainz,0,0.092,8.0,0.5,0.8,0.4
2024_03,norris,0,0.092,10.0,0.5,0.8,0.4
2024_03,piastri,0,0.093,4.0,0.5,0.8,0.4
2024_03,alonso,0,0.095,4.916666666666667,0.5,0.8,0.4
2024_03,stroll,0,0.116,4.916666666666667,0.5,0.8,0.4
2024_04,verstappen,1,0.104,,0.5,0.8,0.4
2024_04,perez,0,0.114,,0.5,0.8,0.4
2024_04,hamilton,0,0.102,,0.5,0.8,0.4
2024_04,russell,0,0.113,,0.5,0.8,0.4
2024_04,leclerc,0,0.124,,0.5,0.8,0.4
2024_04,sainz,0,0.095,,0.5,0.8,0.4
2024_04,norris,0,0.084,,0.5,0.8,0.4
2024_04,piastri,0,0.084,,0.5,0.8,0.4
2024_04,alonso,0,0.094,,0.5,0.8,0.4
2024_04,stroll,0,0.086,,0.5,0.8,0.4
2024_04,verstappen,0,0.104,,0.5,0.8,0.4
2024_04,perez,0,0.114,,0.5,0.8,0.4
2024_04,hamilton,0,0.102,,0.5,0.8,0.4
2024_04,russell,0,0.113,,0.5,0.8,0.4
2024_04,leclerc,0,0.124,,0.5,0.8,0.4
2024_04,sainz,0,0.095,,0.5,0.8,0.4
2024_04,norris,0,0.084,,0.5,0.8,0.4
2024_04,piastri,0,0.084,,0.5,0.8,0.4
2024_04,alonso,1,0.094,,0.5,0.8,0.4
2024_04,stroll,0,0.086,,0.5,0.8,0.4
2024_04,verstappen,0,0.104,6.0,0.5,0.8,0.4
2024_04,perez,0,0.114,5.0,0.5,0.8,0.4
2024_04,hamilton,0,0.102,3.0,0.5,0.8,0.4
2024_04,russell,0,0.113,2.0,0.5,0.8,0.4
2024_04,leclerc,0,0.124,1.0,0.5,0.8,0.4
2024_04,sainz,0,0.095,7.0,0.5,0.8,0.4
2024_04,norris,0,0.084,10.0,0.5,0.8,0.4
2024_04,piastri,0,0.084,9.0,0.5,0.8,0.4
2024_04,alonso,0,0.094,4.916666666666667,0.5,0.8,0.4
2024_04,stroll,1,0.086,4.916666666666667,0.5,0.8,0.4
